 57552.00  0.112206  0.494359 -0.2008678 
 57553.00  0.115185  0.494110 -0.2016874 
 57554.00  0.117976  0.494531 -0.2024338 
 57555.00  0.120747  0.494801 -0.2030683 
 57556.00  0.123637  0.494565 -0.2035887 
 57557.00  0.126198  0.494028 -0.2040376 
 57558.00  0.128285  0.493217 -0.2043667 
 57559.00  0.130352  0.492276 -0.2046251 
 57560.00  0.132249  0.491487 -0.2048420 
 57561.00  0.134167  0.490753 -0.2050887 
 57562.00  0.136425  0.490215 -0.2054396 
 57563.00  0.138665  0.489601 -0.2058980 
 57564.00  0.140635  0.489016 -0.2065203 
 57565.00  0.142516  0.488715 -0.2073242 
 57566.00  0.144402  0.488172 -0.2082697 
 57567.00  0.146439  0.487250 -0.2093152 
 57568.00  0.148514  0.486341 -0.2104222 
 57569.00  0.150280  0.485345 -0.2114902 
 57570.00  0.152195  0.483963 -0.2124434 
 57571.00  0.154426  0.482659 -0.2133215 
 57572.00  0.156554  0.481624 -0.2141112 
 57573.00  0.158560  0.480624 -0.2147601 
 57574.00  0.160547  0.479591 -0.2153220 
 57575.00  0.162459  0.478503 -0.2158432 
 57576.00  0.164391  0.477392 -0.2163556 
 57577.00  0.166437  0.476347 -0.2169095 
 57578.00  0.168675  0.475159 -0.2175173 
 57579.00  0.171342  0.473738 -0.2181530 
 57580.00  0.174103  0.472350 -0.2186990 
 57581.00  0.176808  0.471201 -0.2191499 
 57582.00  0.179192  0.470257 -0.2195486 
 57583.00  0.180993  0.469248 -0.2198556 
 57584.00  0.182790  0.468067 -0.2200138 
 57585.00  0.184902  0.466778 -0.2200548 
 57586.00  0.187162  0.465542 -0.2200402 
 57587.00  0.189614  0.464331 -0.2200138 
 57588.00  0.192141  0.463125 -0.2200053 
 57589.00  0.194331  0.462023 -0.2200767 
 57590.00  0.196189  0.460953 -0.2202578 
 57591.00  0.198099  0.459791 -0.2205614 
 57592.00  0.200157  0.458663 -0.2209784 
 57593.00  0.202210  0.457630 -0.2214576 
 57594.00  0.204210  0.456734 -0.2220029 
 57595.00  0.206016  0.456006 -0.2226080 
 57596.00  0.207462  0.455165 -0.2232088 
 57597.00  0.208762  0.454249 -0.2237679 
 57598.00  0.210091  0.453170 -0.2242738 
 57599.00  0.211408  0.451913 -0.2247189 
 57600.00  0.212494  0.450637 -0.2251062 
 57601.00  0.213085  0.449407 -0.2254550 
 57602.00  0.213400  0.447985 -0.2258489 
 57603.00  0.214330  0.446206 -0.2263469 
 57604.00  0.215745  0.444660 -0.2269269 
 57605.00  0.217112  0.443361 -0.2275754 
 57606.00  0.218332  0.442098 -0.2282625 
 57607.00  0.219404  0.440642 -0.2289710 
 57608.00  0.220515  0.439149 -0.2296808 
 57609.00  0.221601  0.437701 -0.2303739 
 57610.00  0.222580  0.436117 -0.2310358 
 57611.00  0.223401  0.434291 -0.2316136 
 57612.00  0.224349  0.432106 -0.2320900 
 57613.00  0.225386  0.429814 -0.2324514 
 57614.00  0.225946  0.427484 -0.2327222 
 57615.00  0.226140  0.425021 -0.2329833 
 57616.00  0.226426  0.422513 -0.2333311 
 57617.00  0.226691  0.420262 -0.2338038 
 57618.00  0.226919  0.418171 -0.2344188 
 57619.00  0.227282  0.416166 -0.2352416 
 57620.00  0.227526  0.414242 -0.2362369 
 57621.00  0.227663  0.412257 -0.2373300 
 57622.00  0.227866  0.410236 -0.2384520 
 57623.00  0.228323  0.407970 -0.2395542 
