4380.09	 100bl* 	Ne VIII 
4380.09	 100bl* 	Ne VIII 
4380.09	 100bl* 	Ne VIII 
4381.22	300	Ne I 
4382.3360	10m	U I
4383.2613	10m	U I
4384.1079	180	Ne II 
4384.223	80	Ne II 
4384.976	  	Ne II 
4385.0642	200	Ne II 
4385.87	 100bl 	Ne VIII 
4387.3106	10m	U I
4391.9902	400	Ne II 
4391.994	  	Ne II 
4393.59	330	U I 
4394.37	 150* 	Ne I 
4394.37	 150* 	Ne I 
		
4394.37	 150* 	Ne I 
4394.773	150	Ne I 
4395.008	10	Ne I 
4395.306	10	Ne I 
4395.556	500	Ne I 
		
4395.969	10	Ne I 
4396.313	120	Ne II 
4397.175	10	Ne I 
4397.9902	300	Ne II 
4398.136	50	Ne I 
		
4402.374	20	Ne I 
4402.58	10	Ne I 
4402.985	10	Ne I 
4405.582	20	Ne I 
4409.2987	300	Ne II 
		
4409.62	200	Ne I 
4409.778	 40w 	Ne II 
4412.2	 80w 	Ne II 
4412.285	200	Ne I 
4412.591	180	Ne II 
4413.1332	10m	U I
4413.113	 160* 	Ne II 
4413.113	 160* 	Ne II 
4413.215	200	Ne II 
4413.561	150	Ne I 
4415.141	50	Ne I 
		
4416.7552	160	Ne II 
4416.817	500	Ne I 
4420.558	10	Ne I 
4421.3888	200	Ne II 
4421.5553	500	Ne I 
		
4422.5205	3000	Ne I 
4422.8	 20* 	Ne VIII 
4422.8	 20* 	Ne VIII 
4424.8065	3000	Ne I 
4425.4	1500	Ne I 
		
4426.8	20	Ne VIII 
4426.9346	10m	U I
4427.108	60	Ne II 
4427.755	300	Ne I 
4427.981	150	Ne I 
4428.4075	 160bl 	Ne II 
		
4428.52	 200bl* 	Ne II 
4428.52	 200bl* 	Ne II 
4428.52	 200bl* 	Ne II 
4428.6359	 200bl 	Ne II 
4429.41	10	Ne I 
		
4429.64	180	Ne II 
4430.0808	10m	U I
4430.9018	 300bl 	Ne II 
4430.9417	 300bl 	Ne II 
4431.105	12	Ne II 
		
4431.81	 160* 	Ne II 
4431.81	 160* 	Ne II 
4432.303	160	Ne II 
4432.5166	200	Ne I 
4433.398	100	Ne I 
		
4433.7239	700	Ne I 
4435.094	50	Ne I 
4436.979	100	Ne II 
4439.2525	180	Ne II 
4439.461	180	Ne II 
		
4439.991	180	Ne II 
4440.363	 150* 	Ne I 
4440.363	 150* 	Ne I 
4440.7369	10m	U I
4440.804	80	Ne II 
4440.812	20	Ne I 
		
4440.89	10	Ne I 
4441.091	  	Ne II 
4442.6865	180	Ne II 
4444.978	300	Ne I 
4445.671	10	Ne I 
		
4445.8	20	Ne VIII 
4446.4398	180	Ne II 
4446.538	10	Ne I 
4446.651	  	Ne II 
4448.3307	10m	U I
4452.607	140	Ne II 
		
4452.79	 2000wl* 	Ne III 
4452.79	 2000wl* 	Ne III 
4452.79	 2000wl* 	Ne III 
4452.79	 2000wl* 	Ne III 
4452.79	 2000wl* 	Ne III 
		
4452.983	150	Ne I 
4453.2123	10m	U I
4453.253	50	Ne I 
4453.324	20	Ne I 
4453.528	10	Ne I 
4454.285	50	Ne I 
		
4455.564	150	Ne I 
4456.38	10	Ne I 
4456.445	80	Ne II 
4457.0473	240	Ne II 
4457.242	 100* 	Ne II 
		
4457.242	 100* 	Ne II 
4457.3507	160	Ne II 
4458.7015	10m	U I
4458.763	500	Ne III 
4458.862	400	Ne III 
4458.94	300	Ne III 
		
4460.175	1000	Ne I 
4460.54	 1000ws,bl* 	Ne III 
4460.54	 1000ws,bl* 	Ne III 
4460.54	 1000ws,bl* 	Ne III 
4462.856	20	Ne I 
		
4465.6544	500	Ne I 
4466.037	 40bl 	Ne II 
4466.045	50	Ne I 
4466.503	20	Ne I 
4466.812	700	Ne I 
		
4467.491	10	Ne I 
4467.735	40	Ne II 
4468.9132	180	Ne II 
4469.3248	10m	U I
4470.971	 50* 	Ne I 
4470.971	 50* 	Ne I 
		
4471.04	 70w 	Ne III 
4471.586	160	Ne II 
4472.246	 10* 	Ne I 
4472.246	 10* 	Ne I 
4472.33	600	U II 
		
4475.131	50	Ne I 
4475.39	60	Ne II 
4475.656	1000	Ne I 
4477.4	  	Ne II 
4477.934	22	Ne II 
		
4480.823	150	Ne I 
4483.19	1500	Ne I 
4488.0926	3000	Ne I 
		
4491.7716	800	Ne I 
4491.838	500	Ne I 
4492.132	50	Ne I 
4492.412	300	Ne I 
4492.689	150	Ne I 
		
4493.108	50	Ne I 
4493.699	500	Ne I 
4494.7120	10m	U I
4495.7	100	Ne VIII 
4496.243	60	Ne II 
4498.9247	180	Ne II 
		
4499	20	Ne I 
4499.1166	180	Ne II 
4499.843	 50* 	Ne I 
4499.843	 50* 	Ne I 
4500.182	500	Ne I 
		
4500.7	 20bl 	Ne VIII 
4508.1286	180	Ne II 
4510.17	150	Ne I 
4511.42	160	Ne II 
		
4511.478	160	Ne II 
4511.509	 200* 	Ne I 
4511.509	 200* 	Ne I 
4514.884	140	Ne II 
4514.891	700	Ne I 
		
4515.022	20	Ne I 
4515.28	240	U II 
4515.411	300	Ne I 
4516.663	60	Ne II 
4516.7231	10m	U I
4516.936	500	Ne I 
		
4517.329	80	Ne II 
4517.3974	 m 	Ne II 
4517.404	120	Ne II 
4517.736	1000	Ne I 
4517.8334	160	Ne II 
		
4522.314	60	Ne II 
4522.4	  	Ne II 
4522.524	12	Ne II 
4522.7191	200	Ne II 
4525.764	700	Ne I 
		
4526.177	500	Ne I 
4526.458	 80w 	Ne II 
4526.685	 150* 	Ne I 
4526.685	 150* 	Ne I 
4527.725	150	Ne I 
		
4527.973	10	Ne I 
4528.483	160	Ne II 
4529.476	300	Ne I 
4532.395	10	Ne I 
4534.52	 22w 	Ne II 
		
4534.644	 80w 	Ne II 
4535.374	140	Ne II 
4535.572	 40w 	Ne II 
4536.3003	1500	Ne I 
4537.195	22	Ne II 
		
4537.55	20	Ne VIII 
4537.6768	3000	Ne I 
4537.7545	10000	Ne I 
4538.3026	3000	Ne I 
4539.168	500	Ne I 
		
4540.3801	500	Ne I 
4542.39	 12bl 	Ne II 
4542.48	 12bl 	Ne II 
4542.91	20	Ne VIII 
		
4543.63	620	U II 
4544.12	 12w 	Ne II 
4544.32	 12w 	Ne II
4544.3547	10m	U I 
4544.502	500	Ne I 
4545.5964	10m	U I
4545.729	10	Ne I 
		
4547.218	100	Ne I 
4547.728	150	Ne I 
4550.64	10	Ne I 
4551.5734	10m	U I
4551.67	 12w 	Ne II 
4551.9748	10m	U I
4552.5	20	Ne VII 
4552.598	300	Ne I 
4553.1731	140	Ne II 
4553.399	100	Ne II 
		
4554.415	100	Ne I 
4554.561	50	Ne I 
4554.824	400	Ne I 
4555.392	300	Ne I 
4555.4	30	Ne VII 
		
4556.698	20	Ne I 
4558.0421
4559.6427	10m	U I
4561.994	12	Ne II 
4562.2	 40w 	Ne II 
4562.449	10	Ne I 
4565.1	  	Ne II 
		
4565.539	22	Ne II 
4565.888	600	Ne I 
4566.83	400	Ne I 
4567.139	150	Ne I 
4567.845	100	Ne I 
		
4569.057	200	Ne II 
4569.604	22	Ne II 
4573.0609	50	Ne I 
4573.557	500	Ne I 
4573.898	300	Ne I 
		
4574.42	40	Ne II 
4575.062	3000	Ne I 
4575.311	40	Ne II 
4575.858	200	Ne I 
4576.6400	10m	U I
4580.418	160	Ne II 
		
4582	 40bl 	Ne II 
4582.035	1500	Ne I 
4582.043	 60bl 	Ne II 
4582.105	150	Ne I 
4582.4521	1500	Ne I 
		
4582.556	150	Ne I 
4582.98	50	Ne I 
4585.876	100	Ne I 
4586.145	20	Ne I 
4588.133	160	Ne II 
		
4588.358	22	Ne II 
4592.9227	10m	U I
4593.243	500	Ne I 
4595.249	500	Ne I 
4600.152	 40bl 	Ne II 
		
4604.095	150	Ne I 
4604.469	40	Ne II 
4604.68	10	Ne I 
4604.938	50	Ne I 
4606.697	100	Ne II 
		
4609.365	300	Ne I 
4609.8	 5i 	Ne IV 
4609.91	1500	Ne I 
4610.151	80	Ne II 
4612.802	12	Ne II 
		
4612.928	 22w 	Ne II 
4614.391	1000	Ne I 
4615.563	 22w 	Ne II 
4616.0911	180	Ne II 
4616.3	 12w 	Ne II 
		
4616.911	50	Ne I 
4617.837	700	Ne I 
4620.21	300	U I 
4620.4281	10m	U I
4624.251	120	Ne II 
4627.07	240	U II 
		
4627.799	20	Ne I 
4627.981	160	Ne II 
4628	 1i 	Ne IV 
4628.3113	1500	Ne I 
4628.46	300	Ne I 
		
4628.87	 20w* 	Ne III 
4628.87	 20w* 	Ne III 
